,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo
0,1.0,80.0,S,1.0805,0.6071095999999999
1,2.0,80.0,S,0.9591283000000002,0.5662216999999999
2,3.0,80.0,S,1.0775208,0.6532759000000001
3,4.0,80.0,S,1.1405835,0.5097696
4,5.0,80.0,S,1.131928,0.5307626
5,6.0,80.0,S,1.0545716,0.6468519
6,7.0,80.0,S,1.065533,0.686721
7,8.0,80.0,S,1.1420815000000002,0.6843935
8,9.0,80.0,S,1.2815729999999999,0.7263056999999999
9,10.0,80.0,S,1.253284,0.6060726
10,11.0,80.0,S,1.2042549999999999,0.52884735
11,12.0,80.0,S,1.139921,0.4980633
12,13.0,80.0,S,0.9949524,0.6997072
13,14.0,80.0,S,0.8666347,0.6466115
14,15.0,80.0,S,1.06132895,0.5913139000000001
15,16.0,80.0,S,1.031303,0.6231211
16,17.0,80.0,S,0.92155565,0.6301475000000001
17,18.0,80.0,S,0.9958509499999999,0.6316029000000001
18,19.0,80.0,S,0.9501287,0.5971661
19,20.0,80.0,S,0.95206215,0.5374291500000001
20,21.0,80.0,S,0.9772663,0.3971671
21,22.0,80.0,S,1.0022950000000002,0.4968399000000001
22,23.0,80.0,S,1.00347,0.5315455
23,24.0,80.0,S,0.9666600000000001,0.6823357
24,25.0,80.0,S,0.9864243,0.604889
25,26.0,80.0,S,0.9240062,0.45295270000000004
26,27.0,80.0,S,1.131369,0.6330835
27,28.0,80.0,S,0.9179787000000001,0.4420786
28,29.0,80.0,S,0.73262585,0.49724120000000005
29,30.0,80.0,S,0.8361951999999999,0.47428370000000003
30,31.0,80.0,S,0.7943633000000001,0.47638459999999994
31,32.0,80.0,S,0.9220047,0.5798736
32,33.0,80.0,S,0.9515731,0.6180365
33,34.0,80.0,S,0.9198120000000001,0.6403205999999999
34,35.0,80.0,S,0.99648995,0.7081435
35,36.0,80.0,S,0.9429286,0.5690156999999999
36,37.0,80.0,S,0.8890099,0.4672971
37,38.0,80.0,S,0.9762521000000001,0.6186359499999999
38,39.0,80.0,S,1.0045110000000002,0.49438580000000004
39,40.0,80.0,S,1.04361,0.5168369
40,1.0,100.0,S,1.1338270000000001,0.40120459999999997
41,2.0,100.0,S,1.25128,0.5480163
42,3.0,100.0,S,1.3015845000000001,0.6751845999999999
43,5.0,100.0,S,1.3972069999999999,0.6786937000000001
44,6.0,100.0,S,1.380235,0.7453701
45,7.0,100.0,S,1.5046815,0.8350224
46,8.0,100.0,S,1.441802,0.5164809
47,9.0,100.0,S,1.4104709999999998,0.7857956
48,10.0,100.0,S,1.422995,0.5760679
49,11.0,100.0,S,1.3997110000000001,0.5706515
50,12.0,100.0,S,1.200952,0.5518111
51,13.0,100.0,S,1.112774,0.7569296
52,14.0,100.0,S,1.1441139999999999,0.7871361
53,15.0,100.0,S,0.977424,0.37990240000000003
54,16.0,100.0,S,1.095905,0.6005189999999999
55,17.0,100.0,S,1.113708,0.6722913
56,18.0,100.0,S,0.9086254,0.6878738
57,19.0,100.0,S,1.0313290000000002,0.5911021
58,20.0,100.0,S,1.08112,0.6604229
59,21.0,100.0,S,0.7052208999999999,0.336501
60,22.0,100.0,S,0.8468897500000001,0.47178380000000003
61,23.0,100.0,S,0.9069993000000001,0.34375009999999995
62,24.0,100.0,S,0.9925381999999999,0.5323512
63,25.0,100.0,S,0.8442519500000001,0.569933
64,26.0,100.0,S,0.9276131000000001,0.52397285
65,27.0,100.0,S,0.9895103999999999,0.6269604
66,28.0,100.0,S,0.9695351,0.58985515
67,29.0,100.0,S,0.9104426999999999,0.4337066
68,30.0,100.0,S,0.7283891,0.43766700000000003
69,31.0,100.0,S,0.80371,0.5113807
70,32.0,100.0,S,0.7778146,0.458667
71,33.0,100.0,S,0.8062486,0.69098225
72,34.0,100.0,S,0.8157076999999999,0.3935735
73,35.0,100.0,S,0.8228804,0.558619
74,36.0,100.0,S,0.7616118999999999,0.37162629999999996
75,37.0,100.0,S,0.9317996,0.4977809
76,38.0,100.0,S,0.7770990500000001,0.4896228
77,39.0,100.0,S,0.7565200999999999,0.4232925500000001
78,40.0,100.0,S,0.7883017,0.4860816
79,1.0,120.0,S,0.9756096500000001,0.5087696
80,2.0,120.0,S,0.9880284500000001,0.44489455
81,3.0,120.0,S,1.07612,0.3583005
82,4.0,120.0,S,1.063805,0.54507795
83,5.0,120.0,S,1.039012,0.5814286999999999
84,6.0,120.0,S,0.9445316999999999,0.5654929
