,Trial,BPM,GestureSize,MedianVelocityYRegionOne,MedianVelocityYRegionTwo
0,1.0,80.0,S,0.9909015,-0.5254265
1,2.0,80.0,S,0.8597884500000001,-0.4884483
2,3.0,80.0,S,0.9346805499999999,-0.58622945
3,4.0,80.0,S,1.03064355,-0.4549518
4,5.0,80.0,S,1.078234,-0.4659891
5,6.0,80.0,S,0.9626153,-0.5942459
6,7.0,80.0,S,0.9919631,-0.6301249
7,8.0,80.0,S,1.0364389999999999,-0.6276236999999999
8,9.0,80.0,S,1.1430924999999998,-0.6389865
9,10.0,80.0,S,1.152874,-0.5271272
10,11.0,80.0,S,1.146075,-0.48899020000000004
11,12.0,80.0,S,0.9118195,-0.3897686
12,13.0,80.0,S,0.9155338,-0.6426947
13,14.0,80.0,S,0.80183725,-0.6154723000000001
14,15.0,80.0,S,0.9868748,-0.5583451500000001
15,16.0,80.0,S,0.9024853,-0.6046876999999999
16,17.0,80.0,S,0.8488409,-0.5765036
17,18.0,80.0,S,0.8985470999999999,-0.5716011999999999
18,19.0,80.0,S,0.8497884,-0.5427526
19,20.0,80.0,S,0.8581312000000001,-0.4833593
20,21.0,80.0,S,0.8608434000000001,-0.3171271
21,22.0,80.0,S,0.8686193000000001,-0.434212
22,23.0,80.0,S,0.9174996999999999,-0.48178699999999997
23,24.0,80.0,S,0.9330976000000001,-0.6555261
24,25.0,80.0,S,0.9066843000000001,-0.5281732
25,26.0,80.0,S,0.8916371999999999,-0.30655140000000003
26,27.0,80.0,S,1.061303,-0.5638628000000001
27,28.0,80.0,S,0.8697984000000001,-0.3904042
28,29.0,80.0,S,0.68746095,-0.46955094999999997
29,30.0,80.0,S,0.7940944000000001,-0.4238149000000001
30,31.0,80.0,S,0.7344878,-0.4635206
31,32.0,80.0,S,0.8811319000000001,-0.5367455
32,33.0,80.0,S,0.8905774999999999,-0.584859
33,34.0,80.0,S,0.8872680500000001,-0.5697279
34,35.0,80.0,S,0.94320385,-0.6810895
35,36.0,80.0,S,0.9026247,-0.5535638
36,37.0,80.0,S,0.86326,-0.42731660000000005
37,38.0,80.0,S,0.9105639999999999,-0.5953820999999999
