,Trial,BPM,GestureSize,TotalDistanceCoveredInRegionOne,TotalDistanceCoveredInRegionTwo,TotalDistanceCoveredBothRegions
0,1.0,80.0,S,0.3302,0.13713980000000003,0.4673398
1,2.0,80.0,S,0.31473290000000004,0.12790499999999994,0.4426379
2,3.0,80.0,S,0.37231679999999995,0.1609928,0.5333095999999999
3,4.0,80.0,S,0.32210570000000005,0.15352879999999997,0.4756345
4,5.0,80.0,S,0.3532903,0.15923649999999995,0.5125268
5,6.0,80.0,S,0.3784805,0.15129760000000003,0.5297781
6,7.0,80.0,S,0.3643905,0.15361779999999997,0.5180083
7,8.0,80.0,S,0.3569272,0.15756009999999998,0.5144873
8,9.0,80.0,S,0.4038373,0.1947608,0.5985981
9,10.0,80.0,S,0.4214626,0.1887493,0.6102119
10,11.0,80.0,S,0.37293699999999996,0.14615310000000004,0.5190901
11,12.0,80.0,S,0.34324990000000005,0.14244130000000005,0.4856912000000001
12,13.0,80.0,S,0.3395455,0.15046919999999997,0.49001469999999997
13,14.0,80.0,S,0.3106883,0.1409219,0.45161019999999996
14,15.0,80.0,S,0.3147257,0.1485687000000001,0.4632944000000001
15,16.0,80.0,S,0.3419761,0.14710949999999995,0.48908559999999995
16,17.0,80.0,S,0.3318799000000001,0.1458853999999999,0.4777653
17,18.0,80.0,S,0.3510259,0.14109480000000002,0.4921207
18,19.0,80.0,S,0.30611009999999994,0.13542020000000005,0.4415303
19,20.0,80.0,S,0.34037629999999996,0.14191860000000006,0.4822949
20,21.0,80.0,S,0.2942499,0.11204530000000001,0.4062952
21,22.0,80.0,S,0.2930697,0.13079849999999998,0.4238682
22,23.0,80.0,S,0.28216729999999995,0.12937540000000003,0.4115427
23,24.0,80.0,S,0.27951,0.12348200000000004,0.402992
24,25.0,80.0,S,0.2723493,0.11095060000000001,0.3832999
25,26.0,80.0,S,0.2833279,0.12948719999999997,0.4128151
26,27.0,80.0,S,0.315386,0.1481676,0.4635536
27,28.0,80.0,S,0.27808,0.11802400000000002,0.396104
28,29.0,80.0,S,0.22844589999999998,0.10658280000000003,0.3350287
29,30.0,80.0,S,0.2856006,0.13297369999999997,0.41857429999999995
30,31.0,80.0,S,0.2302635,0.08936879999999997,0.3196323
31,32.0,80.0,S,0.2625386,0.10369639999999997,0.366235
32,33.0,80.0,S,0.2419057000000001,0.10687969999999991,0.3487854
33,34.0,80.0,S,0.2596422,0.11734440000000002,0.3769866
34,35.0,80.0,S,0.27620659999999997,0.12377750000000004,0.3999841
35,36.0,80.0,S,0.28585320000000003,0.1227163,0.40856950000000003
36,37.0,80.0,S,0.2751325,0.12271369999999998,0.3978462
37,38.0,80.0,S,0.2436518,0.09237779999999998,0.3360296
38,39.0,80.0,S,0.26986409999999994,0.11920560000000008,0.3890697
39,40.0,80.0,S,0.24957220000000002,0.093391,0.3429632
40,1.0,100.0,S,0.3328407,0.12370609999999999,0.4565468
41,2.0,100.0,S,0.3685446,0.1661629,0.5347075
42,3.0,100.0,S,0.353691,0.15965759999999996,0.5133485999999999
43,5.0,100.0,S,0.38737509999999997,0.16738540000000002,0.5547605
44,6.0,100.0,S,0.4369880999999999,0.16373300000000002,0.6007210999999999
45,7.0,100.0,S,0.4133848,0.1663447,0.5797295
46,8.0,100.0,S,0.3857735,0.15958499999999998,0.5453585
47,9.0,100.0,S,0.40670559999999994,0.18411080000000007,0.5908164
48,10.0,100.0,S,0.40601149999999997,0.1478718000000001,0.5538833000000001
49,11.0,100.0,S,0.396982,0.1638966,0.5608786
50,12.0,100.0,S,0.3474123,0.14738929999999995,0.49480159999999995
51,13.0,100.0,S,0.28835429999999995,0.12717270000000008,0.41552700000000004
52,14.0,100.0,S,0.3545494,0.1347276,0.489277
53,15.0,100.0,S,0.2824355,0.11158459999999998,0.3940201
54,16.0,100.0,S,0.3130507,0.11608099999999999,0.4291317
55,17.0,100.0,S,0.2921061,0.11851050000000002,0.4106166
56,18.0,100.0,S,0.28730029999999995,0.12689520000000004,0.4141955
57,19.0,100.0,S,0.2854331,0.11246830000000002,0.3979014
58,20.0,100.0,S,0.2893524,0.11899550000000003,0.40834790000000004
59,21.0,100.0,S,0.2125712,0.08474780000000001,0.297319
60,22.0,100.0,S,0.2271005,0.09848729999999997,0.3255878
61,23.0,100.0,S,0.2550871,0.11372549999999998,0.3688126
62,24.0,100.0,S,0.25833110000000004,0.09732589999999997,0.355657
63,25.0,100.0,S,0.2297768,0.10149810000000004,0.33127490000000004
64,26.0,100.0,S,0.2570885,0.10743349999999996,0.36452199999999996
65,27.0,100.0,S,0.2608234,0.10908290000000004,0.3699063
66,28.0,100.0,S,0.30389099999999997,0.1428931,0.44678409999999996
67,29.0,100.0,S,0.235423,0.09436459999999997,0.32978759999999996
68,30.0,100.0,S,0.2009878,0.08212040000000004,0.28310820000000003
69,31.0,100.0,S,0.24122039999999997,0.10608169999999997,0.34730209999999995
70,32.0,100.0,S,0.2157874,0.08208259999999998,0.29786999999999997
71,33.0,100.0,S,0.250165,0.10350889999999996,0.3536739
72,34.0,100.0,S,0.24207350000000002,0.10013209999999992,0.34220559999999994
73,35.0,100.0,S,0.24039120000000005,0.10280699999999995,0.3431982
74,36.0,100.0,S,0.2388372000000001,0.10445679999999988,0.343294
75,37.0,100.0,S,0.2472605,0.09965590000000002,0.3469164
76,38.0,100.0,S,0.23470929999999998,0.10764900000000002,0.3423583
77,39.0,100.0,S,0.2310471,0.10531089999999999,0.336358
78,40.0,100.0,S,0.241585,0.08824890000000002,0.3298339
79,1.0,120.0,S,0.2140417,0.08329750000000002,0.2973392
80,2.0,120.0,S,0.22171639999999998,0.08844580000000007,0.31016220000000005
81,3.0,120.0,S,0.2384775,0.09825070000000002,0.33672820000000003
82,4.0,120.0,S,0.21819760000000002,0.09443139999999997,0.312629
83,5.0,120.0,S,0.2139355,0.0784936,0.2924291
84,6.0,120.0,S,0.2358129,0.0999602,0.3357731
85,7.0,120.0,S,0.2784722,0.12465000000000004,0.40312220000000004
86,8.0,120.0,S,0.3006929,0.11073630000000012,0.4114292000000001
87,9.0,120.0,S,0.2437839,0.09957669999999996,0.34336059999999996
88,10.0,120.0,S,0.2842288,0.12255929999999998,0.4067881
89,11.0,120.0,S,0.27432929999999994,0.11295220000000006,0.3872815
90,12.0,120.0,S,0.29020159999999995,0.11308920000000006,0.4032908
91,13.0,120.0,S,0.2732865,0.11324120000000004,0.38652770000000003
92,14.0,120.0,S,0.3025703,0.09727940000000002,0.39984970000000003
93,15.0,120.0,S,0.3151213,0.1327893,0.4479106
94,16.0,120.0,S,0.2900547,0.1152495,0.4053042
95,17.0,120.0,S,0.3129686,0.12920120000000013,0.4421698000000001
96,18.0,120.0,S,0.3397166,0.1511744,0.49089099999999997
97,19.0,120.0,S,0.3554285,0.1161121,0.4715406
98,20.0,120.0,S,0.347236,0.16932000000000003,0.516556
99,21.0,120.0,S,0.2451221,0.10410740000000002,0.3492295
100,22.0,120.0,S,0.27340349999999997,0.1137496,0.3871531
101,23.0,120.0,S,0.30741890000000005,0.13222010000000006,0.4396390000000001
102,24.0,120.0,S,0.2662625,0.10841079999999997,0.3746733
103,25.0,120.0,S,0.2575942,0.1086954,0.3662896
104,26.0,120.0,S,0.22372640000000002,0.09594129999999998,0.3196677
105,27.0,120.0,S,0.24241239999999997,0.08861730000000001,0.3310297
106,28.0,120.0,S,0.2698866,0.11393260000000005,0.3838192
107,29.0,120.0,S,0.2590307,0.10986789999999996,0.36889859999999997
108,30.0,120.0,S,0.2531698,0.10405540000000002,0.3572252
109,31.0,120.0,S,0.2336976,0.10605979999999998,0.3397574
110,32.0,120.0,S,0.24436190000000002,0.10876039999999998,0.3531223
111,33.0,120.0,S,0.22898139999999997,0.08922400000000005,0.3182054
112,34.0,120.0,S,0.23173890000000005,0.092724,0.32446290000000005
113,36.0,120.0,S,0.2440133,0.0937847,0.337798
114,37.0,120.0,S,0.20957179999999997,0.0820378,0.29160959999999997
115,38.0,120.0,S,0.22636910000000002,0.09463699999999994,0.32100609999999996
116,39.0,120.0,S,0.2639611,0.09895299999999996,0.36291409999999996
117,40.0,120.0,S,0.2573282,0.10580509999999999,0.3631333
118,1.0,80.0,M,0.5678506999999999,0.24244940000000004,0.8103001
119,2.0,80.0,M,0.5687035,0.22634569999999987,0.7950491999999999
120,3.0,80.0,M,0.5860084,0.25769070000000005,0.8436991
121,4.0,80.0,M,0.6151456999999999,0.28072010000000025,0.8958658000000002
122,5.0,80.0,M,0.5928309,0.25832619999999995,0.8511571
123,6.0,80.0,M,0.5709519000000001,0.24523149999999994,0.8161834
124,7.0,80.0,M,0.5201948000000001,0.2377692,0.7579640000000001
125,8.0,80.0,M,0.5387132,0.2269684999999999,0.7656816999999999
126,9.0,80.0,M,0.5427393,0.23328099999999996,0.7760203
127,10.0,80.0,M,0.4887452000000001,0.18087949999999986,0.6696247
128,11.0,80.0,M,0.4596262,0.17537179999999997,0.634998
129,12.0,80.0,M,0.48911099999999996,0.20979710000000007,0.6989081
130,13.0,80.0,M,0.5442583000000001,0.21760119999999994,0.7618595
131,14.0,80.0,M,0.4897001,0.21301869999999995,0.7027188
132,15.0,80.0,M,0.46558869999999997,0.16573099999999996,0.6313196999999999
133,16.0,80.0,M,0.5180371,0.2373482,0.7553853
134,17.0,80.0,M,0.4826937,0.23221119999999995,0.7149049
135,18.0,80.0,M,0.46424309999999996,0.20808259999999995,0.6723256999999999
136,19.0,80.0,M,0.45844309999999994,0.2118092000000001,0.6702523
137,20.0,80.0,M,0.48546629999999996,0.2087927,0.694259
138,21.0,80.0,M,0.348235,0.1257259,0.4739609
139,22.0,80.0,M,0.41558009999999995,0.17265609999999992,0.5882361999999999
140,23.0,80.0,M,0.4400444000000001,0.15327579999999985,0.5933202
141,24.0,80.0,M,0.4267118,0.16168820000000006,0.5884
142,25.0,80.0,M,0.39961840000000004,0.17214739999999995,0.5717658
143,26.0,80.0,M,0.43254549999999997,0.18418190000000007,0.6167274
144,27.0,80.0,M,0.43815299999999996,0.18277250000000006,0.6209255
145,28.0,80.0,M,0.4299324000000001,0.18841019999999986,0.6183426
146,29.0,80.0,M,0.40947649999999997,0.15658410000000006,0.5660606
147,30.0,80.0,M,0.4347239000000001,0.17124559999999983,0.6059694999999999
148,31.0,80.0,M,0.4136684000000001,0.15199119999999983,0.5656595999999999
149,32.0,80.0,M,0.4317982,0.19993739999999993,0.6317356
150,33.0,80.0,M,0.4243537,0.18320679999999995,0.6075605
151,34.0,80.0,M,0.47281660000000003,0.22409990000000002,0.6969165
152,35.0,80.0,M,0.42743159999999997,0.1576819000000001,0.5851135000000001
153,36.0,80.0,M,0.3830717,0.14039049999999997,0.5234622
154,37.0,80.0,M,0.412236,0.14874880000000007,0.5609848000000001
155,38.0,80.0,M,0.3994122000000001,0.18267879999999992,0.582091
156,39.0,80.0,M,0.40821440000000003,0.15033419999999992,0.5585486
157,40.0,80.0,M,0.3684962,0.14466099999999998,0.5131572
