,BPM,GestureSize,TotalDistanceCoveredInRegionOne,Trial
0,80.0,S,0.3302,1.0
1,80.0,S,0.31473290000000004,2.0
2,80.0,S,0.3723168,3.0
3,80.0,S,0.32210570000000005,4.0
4,80.0,S,0.3532903,5.0
5,80.0,S,0.3784805,6.0
6,80.0,S,0.3643905,7.0
7,80.0,S,0.3569272,8.0
8,80.0,S,0.4038373,9.0
9,80.0,S,0.4214626,10.0
10,80.0,S,0.372937,11.0
11,80.0,S,0.34324990000000005,12.0
12,80.0,S,0.3395455,13.0
13,80.0,S,0.3106883,14.0
14,80.0,S,0.3147257,15.0
15,80.0,S,0.3419761,16.0
16,80.0,S,0.3318799000000001,17.0
17,80.0,S,0.3510259,18.0
18,80.0,S,0.30611009999999994,19.0
19,80.0,S,0.3403763,20.0
20,80.0,S,0.2942499,21.0
21,80.0,S,0.2930697,22.0
22,80.0,S,0.28216729999999995,23.0
23,80.0,S,0.27951,24.0
24,80.0,S,0.2723493,25.0
25,80.0,S,0.2833279,26.0
26,80.0,S,0.315386,27.0
27,80.0,S,0.27808,28.0
28,80.0,S,0.2284459,29.0
29,80.0,S,0.2856006,30.0
30,80.0,S,0.2302635,31.0
31,80.0,S,0.2625386,32.0
32,80.0,S,0.24190570000000006,33.0
33,80.0,S,0.2596422,34.0
34,80.0,S,0.2762066,35.0
35,80.0,S,0.28585320000000003,36.0
36,80.0,S,0.2751325,37.0
37,80.0,S,0.2436518,38.0
38,80.0,S,0.26986409999999994,39.0
39,80.0,S,0.2495722,40.0
40,100.0,S,0.3328407,1.0
41,100.0,S,0.3685446,2.0
42,100.0,S,0.353691,3.0
43,100.0,S,0.0,4.0
44,100.0,S,0.3873751,5.0
45,100.0,S,0.4369880999999999,6.0
46,100.0,S,0.4133848,7.0
47,100.0,S,0.3857735,8.0
48,100.0,S,0.4067056,9.0
49,100.0,S,0.4060115,10.0
50,100.0,S,0.396982,11.0
51,100.0,S,0.3474123,12.0
52,100.0,S,0.28835429999999995,13.0
53,100.0,S,0.3545494,14.0
54,100.0,S,0.2824355,15.0
55,100.0,S,0.3130507,16.0
56,100.0,S,0.2921061,17.0
57,100.0,S,0.28730029999999995,18.0
58,100.0,S,0.2854331,19.0
59,100.0,S,0.2893524,20.0
60,100.0,S,0.2125712,21.0
61,100.0,S,0.2271005,22.0
62,100.0,S,0.2550871,23.0
63,100.0,S,0.25833110000000004,24.0
64,100.0,S,0.2297768,25.0
65,100.0,S,0.2570885,26.0
66,100.0,S,0.2608234,27.0
67,100.0,S,0.303891,28.0
68,100.0,S,0.235423,29.0
