,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo,RegionOneDistance,RegionTwoDistance,TotalRegionDistance,MaxAngleRegionOne,MaxAngleRegionTwo,MinAngleRegionTwo,TimeDiffRegionOneToPlane,TimeDiffRegionTwoToPlane,TimeEndRegionOne,TimeEndRegionTwo,TimeStartRegionOne,TimeStartRegionTwo,TimeDifferenceBetweenCollisions
0,1.0,80.0,S,1.0805,0.6071095999999999,0.3302,0.13713980000000006,0.4673398,67.87199,69.45491,67.03144,0.3,0.16000000000000006,0.46,0.6,0.12,0.48,0.64
1,2.0,80.0,S,0.9591283000000002,0.5662216999999999,0.31473290000000004,0.12790499999999996,0.4426379,69.85531999999999,70.92043000000002,66.94464,0.32,0.16000000000000006,0.46,0.62,0.12,0.48,0.66
2,3.0,80.0,S,1.0775208,0.6532759000000001,0.3723168,0.1609928,0.5333095999999999,68.08369,67.91116,61.58102,0.36,0.16000000000000006,0.52,0.72,0.16,0.54,0.72
3,4.0,80.0,S,1.1405835,0.5097696,0.32210570000000005,0.15352879999999994,0.4756345,75.15100000000002,77.1943,75.72021,0.2799999999999999,0.12,0.56,0.72,0.24,0.58,0.6
4,5.0,80.0,S,1.131928,0.5307626,0.3532903,0.15923649999999995,0.5125268,71.39948000000003,71.43021999999998,65.42288,0.3300000000000001,0.17000000000000004,0.58,0.74,0.24,0.6,0.67
5,6.0,80.0,S,1.0545716,0.6468519,0.3784805,0.15129760000000006,0.5297781,68.97768,68.98109000000001,63.35981,0.30999999999999994,0.16999999999999993,0.54,0.68,0.16,0.56,0.69
6,7.0,80.0,S,1.065533,0.686721,0.3643905,0.15361779999999994,0.5180083,71.99378,72.95826,69.6646,0.37,0.15000000000000002,0.48,0.7,0.18,0.54,0.6699999999999999
7,8.0,80.0,S,1.1420815000000002,0.6843935,0.3569272,0.15756009999999998,0.5144873,69.70382,70.11354,64.22867,0.35000000000000003,0.13,0.44,0.66,0.16,0.5,0.63
8,9.0,80.0,S,1.281573,0.7263056999999999,0.4038373,0.19476079999999998,0.5985981,71.18315,71.30025,65.47829,0.43,0.18999999999999995,0.54,0.78,0.26,0.56,0.71
9,10.0,80.0,S,1.253284,0.6060726,0.4214626,0.18874929999999998,0.6102119,70.62938,71.39008000000003,66.58221999999999,0.35,0.17000000000000004,0.54,0.72,0.2,0.56,0.69
10,11.0,80.0,S,1.204255,0.52884735,0.372937,0.14615310000000006,0.5190901,71.16964,71.2316,66.22965,0.33,0.1499999999999999,0.5,0.68,0.16,0.52,0.6699999999999999
11,12.0,80.0,S,1.139921,0.4980633,0.34324990000000005,0.14244130000000005,0.4856912000000001,71.46121,72.87393,67.51099,0.31000000000000005,0.15000000000000002,0.5,0.66,0.22,0.54,0.5900000000000001
12,13.0,80.0,S,0.9949524,0.6997072,0.3395455,0.15046919999999994,0.4900147,71.95869,72.26578,66.45079,0.30000000000000004,0.16000000000000006,0.6,0.74,0.2,0.62,0.7
13,14.0,80.0,S,0.8666347,0.6466115,0.3106883,0.14092190000000002,0.4516102,72.15496,72.12096,63.18864,0.38,0.16000000000000006,0.48,0.7,0.14,0.54,0.72
14,15.0,80.0,S,1.06132895,0.5913139000000001,0.3147257,0.1485687000000001,0.4632944000000001,77.74814,75.31535,70.41301999999997,0.37,0.15000000000000002,0.52,0.74,0.22,0.58,0.67
15,16.0,80.0,S,1.031303,0.6231211,0.3419761,0.14710949999999995,0.4890856,79.73772,79.91738000000002,75.31829,0.31000000000000005,0.15000000000000002,0.62,0.78,0.24,0.64,0.6900000000000001
16,17.0,80.0,S,0.92155565,0.6301475000000001,0.3318799000000001,0.1458853999999999,0.4777653,72.14237,72.89596999999998,69.06057,0.37,0.15000000000000002,0.5,0.72,0.16,0.56,0.71
17,18.0,80.0,S,0.99585095,0.6316029000000001,0.3510259,0.14109480000000002,0.4921207,71.80474,71.91578,68.8336,0.3300000000000001,0.17000000000000004,0.48,0.64,0.12,0.5,0.6900000000000001
18,19.0,80.0,S,0.9501287,0.5971661,0.30611009999999994,0.13542020000000005,0.4415303,73.67401,75.08176999999998,71.93191999999998,0.33,0.15000000000000002,0.4,0.58,0.06,0.42,0.6699999999999999
19,20.0,80.0,S,0.95206215,0.5374291500000001,0.3403763,0.14191860000000006,0.4822949,70.11089,70.68536999999998,65.53856,0.35000000000000003,0.15000000000000002,0.46,0.66,0.12,0.5,0.6900000000000001
20,21.0,80.0,S,0.9772663,0.3971671,0.2942499,0.1120453,0.4062952,70.54847,71.93755,69.21736999999999,0.27,0.13,0.44,0.58,0.18,0.48,0.53
21,22.0,80.0,S,1.0022950000000002,0.4968399000000001,0.2930697,0.13079849999999998,0.4238682,71.8539,73.33458,70.8541,0.24999999999999994,0.11,0.46,0.6,0.18,0.48,0.53
22,23.0,80.0,S,1.00347,0.5315455,0.28216729999999995,0.12937540000000006,0.4115427,77.95411,80.68633,77.70767,0.27,0.13,0.44,0.58,0.16,0.46,0.5499999999999999
23,24.0,80.0,S,0.96666,0.6823357,0.27951,0.12348200000000005,0.402992,78.52991999999998,80.69541,79.60388,0.25,0.13,0.5,0.62,0.16,0.52,0.59
24,25.0,80.0,S,0.9864243,0.604889,0.2723493,0.1109506,0.3832999,80.80404,75.64229,73.6918,0.24999999999999994,0.13,0.46,0.58,0.16,0.48,0.5499999999999999
25,26.0,80.0,S,0.9240062,0.4529527,0.2833279,0.12948719999999994,0.4128151,71.37183,72.42574,67.5313,0.27,0.11,0.4,0.56,0.14,0.44,0.53
26,27.0,80.0,S,1.131369,0.6330835,0.315386,0.1481676,0.4635536,76.95954,81.73026,78.15295,0.27,0.13,0.46,0.6,0.16,0.48,0.57
27,28.0,80.0,S,0.9179787,0.4420786,0.27808,0.11802400000000003,0.396104,76.89244000000002,78.65977,75.85452,0.27,0.13,0.44,0.58,0.18,0.48,0.53
