,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo,MeanVelocityRegionOne,MeanVelocityRegionTwo,RegionOneDistance,RegionTwoDistance,TotalRegionDistance,MaxAngleRegionOne,MaxAngleRegionTwo,MinAngleRegionTwo,MedianVelocityYRegionOne,MedianVelocityYRegionTwo,MeanVelocityYRegionOne,MeanVelocityYRegionTwo,TimeEndRegionOne,TimeEndRegionTwo,TimeStartRegionTwo,TimeDifferenceBetweenCollisions
0,1.0,80.0,S,1.0805,0.6071095999999999,0.5777103487499999,0.5777103487499999,0.3302,0.13713980000000006,0.4673398,67.87199,69.45491,67.03144,0.9909015,-0.5254265,0.8226561933333333,-0.4987065458750001,0.34,0.48,0.36,82.19178082191782
1,2.0,80.0,S,0.9591283000000002,0.5662216999999999,0.4930629711111112,0.4930629711111112,0.31473290000000004,0.12790499999999996,0.4426379,69.85531999999999,70.92043000000002,66.94464,0.8597884500000001,-0.4884483,0.7280751024999998,-0.383677527,0.34,0.5,0.36,84.50704225352112
2,3.0,80.0,S,1.0775208,0.6532759000000001,0.576459255,0.576459255,0.3723168,0.1609928,0.5333095999999999,68.08369,67.91116,61.58102,0.93468055,-0.58622945,0.8493934999999999,-0.4986923689999999,0.36,0.5599999999999999,0.38,75.9493670886076
3,4.0,80.0,S,1.1405835,0.5097696,0.5633312444444444,0.5633312444444444,0.32210570000000005,0.15352879999999994,0.4756345,75.15100000000002,77.1943,75.72021,1.03064355,-0.4549518,0.8910749857142858,-0.5033713988888889,0.32000000000000006,0.48,0.33999999999999997,84.50704225352112
4,5.0,80.0,S,1.131928,0.5307626,0.5881671188888888,0.5881671188888888,0.3532903,0.15923649999999995,0.5125268,71.39948000000003,71.43021999999998,65.42288,1.078234,-0.4659891,0.8630988933333335,-0.5097976066666666,0.33999999999999997,0.5,0.36,81.08108108108108
5,6.0,80.0,S,1.0545716,0.6468519,0.62474743,0.62474743,0.3784805,0.15129760000000006,0.5297781,68.97768,68.98109000000001,63.35981,0.9626153000000001,-0.5942459,0.8932810474999999,-0.5807795,0.38,0.52,0.4,78.94736842105263
6,7.0,80.0,S,1.065533,0.686721,0.6394606666666667,0.6394606666666667,0.3643905,0.15361779999999994,0.5180083,71.99378,72.95826,69.6646,0.9919631,-0.6301249,0.9436238066666666,-0.4955016666666666,0.3,0.52,0.36000000000000004,81.08108108108108
7,8.0,80.0,S,1.1420815000000002,0.6843935,0.6721862355555556,0.6721862355555556,0.3569272,0.15756009999999998,0.5144873,69.70382,70.11354,64.22867,1.036439,-0.6276236999999999,0.9945981,-0.5031442133333334,0.28,0.5,0.33999999999999997,83.33333333333334
8,9.0,80.0,S,1.281573,0.7263056999999999,0.7003375900000001,0.7003375900000001,0.4038373,0.19476079999999998,0.5985981,71.18315,71.30025,65.47829,1.1430924999999998,-0.6389865,1.1031334142857143,-0.4516780581818182,0.28,0.52,0.30000000000000004,75.0
9,10.0,80.0,S,1.253284,0.6060726,0.645560293,0.645560293,0.4214626,0.18874929999999998,0.6102119,70.62938,71.39008000000003,66.58221999999999,1.152874,-0.5271272,0.9809990588235292,-0.5295334589999999,0.34,0.52,0.36000000000000004,78.94736842105263
10,11.0,80.0,S,1.204255,0.52884735,0.562841435,0.562841435,0.372937,0.14615310000000006,0.5190901,71.16964,71.2316,66.22965,1.146075,-0.4889902,0.9176568866666666,-0.49856181899999996,0.33999999999999997,0.52,0.36,78.94736842105263
11,12.0,80.0,S,1.139921,0.4980633,0.5724125625,0.5724125625,0.34324990000000005,0.14244130000000005,0.4856912000000001,71.46121,72.87393,67.51099,0.9118195,-0.38976859999999997,0.9479840153846154,-0.4060442950000001,0.28,0.44000000000000006,0.32000000000000006,88.23529411764706
12,13.0,80.0,S,0.9949524,0.6997072,0.658693275,0.658693275,0.3395455,0.15046919999999994,0.4900147,71.95869,72.26578,66.45079,0.9155338,-0.6426947,0.8070714146666665,-0.6122289375,0.39999999999999997,0.54,0.42,77.92207792207792
13,14.0,80.0,S,0.8666347,0.6466115,0.5870170666666668,0.5870170666666668,0.3106883,0.14092190000000002,0.4516102,72.15496,72.12096,63.18864,0.80183725,-0.6154723000000001,0.7250566562500002,-0.4950748222222222,0.33999999999999997,0.5599999999999999,0.4,74.07407407407408
14,15.0,80.0,S,1.06132895,0.5913139000000001,0.59412754,0.59412754,0.3147257,0.1485687000000001,0.4632944000000001,77.74814,75.31535,70.41301999999997,0.9868747999999999,-0.5583451500000001,0.8487914435714288,-0.48984527,0.30000000000000004,0.52,0.36,78.94736842105263
15,16.0,80.0,S,1.031303,0.6231211,0.6565907222222224,0.6565907222222224,0.3419761,0.14710949999999995,0.4890856,79.73772,79.91738000000002,75.31829,0.9024853,-0.6046876999999999,0.8714710626666666,-0.6391413555555556,0.38,0.54,0.4,78.94736842105263
16,17.0,80.0,S,0.92155565,0.6301475000000001,0.5991545888888888,0.5991545888888888,0.3318799000000001,0.1458853999999999,0.4777653,72.14237,72.89596999999998,69.06057,0.8488409,-0.5765036,0.7504841525,-0.4805740000000001,0.33999999999999997,0.5599999999999999,0.4,76.92307692307692
17,18.0,80.0,S,0.99585095,0.6316029000000001,0.5479687977777777,0.5479687977777777,0.3510259,0.14109480000000002,0.4921207,71.80474,71.91578,68.8336,0.8985470999999999,-0.5716011999999999,0.8723413249999998,-0.47636928,0.36,0.52,0.38,78.94736842105263
18,19.0,80.0,S,0.9501287,0.5971661,0.5404091222222223,0.5404091222222223,0.30611009999999994,0.13542020000000005,0.4415303,73.67401,75.08176999999998,71.93191999999998,0.8497884,-0.5427526,0.8026058357142857,-0.4726304088888889,0.34,0.52,0.36,83.33333333333334
19,20.0,80.0,S,0.95206215,0.5374291500000001,0.552724714,0.552724714,0.3403763,0.14191860000000006,0.4822949,70.11089,70.68536999999998,65.53856,0.8581312000000001,-0.4833593,0.7549335125,-0.440058401,0.34,0.54,0.38,78.94736842105263
20,21.0,80.0,S,0.9772663,0.3971671,0.5007974857142857,0.5007974857142857,0.2942499,0.1120453,0.4062952,70.54847,71.93755,69.21736999999999,0.8608434000000001,-0.3171271,0.8783088923076925,-0.3398647885714286,0.26,0.39999999999999997,0.3,100.0
21,22.0,80.0,S,1.0022950000000002,0.4968399000000001,0.515342755,0.515342755,0.2930697,0.13079849999999998,0.4238682,71.8539,73.33458,70.8541,0.8686193000000001,-0.434212,0.8188322615384618,-0.404293864125,0.28,0.42,0.3,100.0
22,23.0,80.0,S,1.00347,0.5315455,0.5211625375,0.5211625375,0.28216729999999995,0.12937540000000006,0.4115427,77.95411,80.68633,77.70767,0.9174997,-0.481787,0.8656369,-0.44196136875,0.28,0.41999999999999993,0.30000000000000004,96.77419354838709
23,24.0,80.0,S,0.96666,0.6823357,0.5979867,0.5979867,0.27951,0.12348200000000005,0.402992,78.52991999999998,80.69541,79.60388,0.9330976,-0.6555261,0.7978089538461538,-0.5669805142857143,0.33999999999999997,0.45999999999999996,0.36,90.9090909090909
24,25.0,80.0,S,0.9864243,0.604889,0.5046596571428571,0.5046596571428571,0.2723493,0.1109506,0.3832999,80.80404,75.64229,73.6918,0.9066843,-0.5281732,0.7685358076923078,-0.4158781171428571,0.30000000000000004,0.41999999999999993,0.31999999999999995,96.77419354838709
