,ID,GestureSize,Velocity_X,Velocity_Y,Velocity_Z,Position_X,Position_Y,Position_z,VelocityMagnitude,TimeRelativeToPrep,AngleToBP1,DistanceCoveredSoFar,Acceleration,BPM,Trial
0,720.16S80T1,S,-0.3006084,-0.5770589,-0.1196412,0.5480723,-0.4522933,-0.02148562,0.6615711,0,-999,0,3.995513,80,1.0
1,720.18S80T1,S,-0.3810583,-0.5151741,-0.1509234,0.5363189,-0.4642273,-0.02632239,0.6583219,0.02,-999,0,4.434896,80,1.0
2,720.2S80T1,S,-0.4793633,-0.4067078,-0.1805116,0.521848,-0.4725353,-0.03196808,0.6540526,0.04,-999,0,7.302807,80,1.0
3,720.22S80T1,S,-0.4793633,-0.4067078,-0.1805116,0.5122607,-0.4806695,-0.03557831,0.6540526,0.06,-999,0,7.302807,80,1.0
4,720.24S80T1,S,-0.5719016,-0.2440796,-0.2062085,0.5048745,-0.4752138,-0.03820511,0.6551093,0.08,-999,0,8.564717,80,1.0
5,720.26S80T1,S,-0.6284791,-0.03159644,-0.2273571,0.4872333,-0.4709381,-0.0448088,0.6690857,0.1,-999,0,10.05105,80,1.0
6,720.28S80T1,S,-0.6507935,0.25628,-0.2499016,0.4697539,-0.4573984,-0.0519698,0.7427398,0.12,35.6328,0.02324076,12.74975,80,1.0
7,720.3S80T1,S,-0.6509038,0.2816736,-0.2517636,0.4566879,-0.4508297,-0.05709331,0.752596,0.14,31.41545,0.03873651,12.94384,80,1.0
8,720.32S80T1,S,-0.6328368,0.5765085,-0.2705965,0.4537511,-0.4345704,-0.05938048,0.8978123,0.16,44.88372,0.0554164,13.25876,80,1.0
9,720.34S80T1,S,-0.5601229,0.8825253,-0.2916364,0.4408817,-0.4037483,-0.06695323,1.085191,0.18,52.60048,0.08966504,10.70119,80,1.0
10,720.36S80T1,S,-0.471141,1.089599,-0.3211726,0.4307205,-0.3699637,-0.07534054,1.229777,0.2,57.53828,0.125928,8.052,80,1.0
11,720.38S80T1,S,-0.3637684,1.216773,-0.3604862,0.4237848,-0.3346933,-0.08485541,1.320157,0.22,61.15858,0.1631118,4.971932,80,1.0
12,720.4S80T1,S,-0.276255,1.248748,-0.3967586,0.4186281,-0.301107,-0.09531643,1.339069,0.24,63.36037,0.1986654,3.955469,80,1.0
13,720.42S80T1,S,-0.276255,1.248748,-0.3967586,0.413103,-0.2761321,-0.1032516,1.339069,0.26,64.14654,0.2254468,3.955469,80,1.0
14,720.44S80T1,S,-0.1788342,1.224906,-0.4331244,0.4161858,-0.2693179,-0.1068572,1.311478,0.28,64.92751,0.2337496,4.047408,80,1.0
15,720.46S80T1,S,-0.1066483,1.147321,-0.4526611,0.4150327,-0.240993,-0.1185334,1.237991,0.3,65.83135,0.2644084,5.527474,80,1.0
16,720.48S80T1,S,-0.04849871,0.9909015,-0.4280687,0.4149649,-0.218337,-0.1287302,1.0805,0.32,66.32555,0.2892534,7.762663,80,1.0
17,720.5S80T1,S,-0.04849871,0.9909015,-0.4280687,0.4139949,-0.198519,-0.1372915,1.0805,0.34,66.58517,0.3108634,7.762663,80,1.0
18,720.54S80T1,S,0.009373249,0.5877506,-0.2553215,0.4160416,-0.1915834,-0.1399119,0.6408804,0.38,66.96205,0.3185548,9.025017,80,1.0
19,720.56S80T1,S,0.03119568,0.3894784,-0.1516907,0.4172531,-0.1860369,-0.1412843,0.419138,0.4,67.29882,0.3243956,8.409378,80,1.0
20,720.6S80T1,S,0.0410838,0.2077285,-0.05213488,0.4193071,-0.1806087,-0.1413658,0.2180758,0.44,67.87199,0.3302,9.191798,80,1.0
21,720.62S80T1,S,0.0473606,-0.001094267,0.07860927,0.4197902,-0.1897147,-0.1352217,0.09178039,0.46,68.14466,0.3411956,9.57388,80,1.0
22,720.64S80T1,S,0.05401208,-0.190318,0.1894238,0.4214094,-0.1993876,-0.127593,0.2738971,0.48,68.72002,0.3536206,8.474915,80,1.0
23,720.66S80T1,S,0.05514788,-0.3575408,0.2587986,0.4229478,-0.2131511,-0.1190821,0.4448072,0.5,69.1406,0.369876,6.615865,80,1.0
24,720.68S80T1,S,0.05206872,-0.5254265,0.2996629,0.4242814,-0.2311521,-0.1103915,0.6071096,0.52,69.2375,0.3899095,6.050994,80,1.0
25,720.7S80T1,S,0.05206872,-0.5254265,0.2996629,0.4253228,-0.2416606,-0.1043983,0.6071096,0.54,69.45491,0.4020517,6.050994,80,1.0
26,720.72S80T1,S,0.04665378,-0.6556888,0.3259941,0.4254652,-0.2514128,-0.1014345,0.7337415,0.56,69.10744,0.4122453,6.045846,80,1.0
