,Trial,BPM,GestureSize,MaxAngleRegionOne,MaxAngleRegionTwo
0,1.0,80.0,S,67.87199,69.45491
1,2.0,80.0,S,69.85531999999999,70.92043000000002
2,3.0,80.0,S,68.08369,67.91116
3,4.0,80.0,S,75.15100000000002,77.1943
4,5.0,80.0,S,71.39948000000003,71.43021999999998
5,6.0,80.0,S,68.97768,68.98109000000001
6,7.0,80.0,S,71.99378,72.95826
7,8.0,80.0,S,69.70382,70.11354
8,9.0,80.0,S,71.18315,71.30025
9,10.0,80.0,S,70.62938,71.39008000000003
10,11.0,80.0,S,71.16964,71.2316
11,12.0,80.0,S,71.46121,72.87393
12,13.0,80.0,S,71.95869,72.26578
13,14.0,80.0,S,72.15496,72.12096
14,15.0,80.0,S,77.74814,75.31535
15,16.0,80.0,S,79.73772,79.91738000000002
16,17.0,80.0,S,72.14237,72.89596999999998
17,18.0,80.0,S,71.80474,71.91578
18,19.0,80.0,S,73.67401,75.08176999999998
19,20.0,80.0,S,70.11089,70.68536999999998
20,21.0,80.0,S,70.54847,71.93755
21,22.0,80.0,S,71.8539,73.33458
22,23.0,80.0,S,77.95411,80.68633
23,24.0,80.0,S,78.52991999999998,80.69541
24,25.0,80.0,S,80.80404,75.64229
25,26.0,80.0,S,71.37183,72.42574
26,27.0,80.0,S,76.95954,81.73026
27,28.0,80.0,S,76.89244000000002,78.65977
28,29.0,80.0,S,76.49643,77.20119
29,30.0,80.0,S,73.12739,74.28556
30,31.0,80.0,S,79.64876,79.89737
31,32.0,80.0,S,76.81494,77.86904
32,33.0,80.0,S,76.22479,77.39246
33,34.0,80.0,S,77.2402,77.65415
34,35.0,80.0,S,75.43722,75.76661
35,36.0,80.0,S,73.48909,73.37751
36,37.0,80.0,S,74.95906,75.70433
37,38.0,80.0,S,77.25126999999998,79.25715
38,39.0,80.0,S,76.11294000000002,76.1962
39,40.0,80.0,S,78.3678,78.50726999999998
40,1.0,100.0,S,69.73721,71.36001999999998
41,2.0,100.0,S,67.85178,68.41255
42,3.0,100.0,S,71.5163,74.70515
43,5.0,100.0,S,68.37245,68.63251
44,6.0,100.0,S,75.23575,77.54868
45,7.0,100.0,S,71.86671,73.17517
46,8.0,100.0,S,70.75758,71.80068
47,9.0,100.0,S,71.8925,73.32859
48,10.0,100.0,S,69.44069,70.46228
49,11.0,100.0,S,71.12623,71.96734000000002
50,12.0,100.0,S,75.05818000000002,76.99521999999997
51,13.0,100.0,S,83.13773,80.73843000000002
52,14.0,100.0,S,72.16594,73.12379
53,15.0,100.0,S,76.08184,78.81831
54,16.0,100.0,S,77.39331999999997,79.15295
