,Trial,BPM,GestureSize,MedianVelocityRegionOne
0,1.0,80.0,S,0.752596
1,2.0,80.0,S,0.6145799
2,3.0,80.0,S,0.7950702000000001
3,4.0,80.0,S,0.77464235
4,5.0,80.0,S,0.7400633000000001
5,6.0,80.0,S,0.8862305
6,7.0,80.0,S,0.9246646000000001
7,8.0,80.0,S,0.9610529
8,9.0,80.0,S,0.8633463
9,10.0,80.0,S,1.004309
10,11.0,80.0,S,0.9945813
11,12.0,80.0,S,1.040406
12,13.0,80.0,S,0.73380285
13,14.0,80.0,S,0.7892494999999999
14,15.0,80.0,S,0.8251368
15,16.0,80.0,S,0.9214436
16,17.0,80.0,S,0.6830096999999999
17,18.0,80.0,S,0.8218277
18,19.0,80.0,S,0.8292704
19,20.0,80.0,S,0.8136477500000001
20,21.0,80.0,S,0.67776465
21,22.0,80.0,S,0.74764885
22,23.0,80.0,S,0.7445381
23,24.0,80.0,S,0.8275824
24,25.0,80.0,S,0.7732810999999999
25,26.0,80.0,S,0.7751137
26,27.0,80.0,S,0.940926
27,28.0,80.0,S,0.7947853
28,29.0,80.0,S,0.6774496
29,30.0,80.0,S,0.8190101
30,31.0,80.0,S,0.7167045
31,32.0,80.0,S,0.6548276500000001
32,33.0,80.0,S,0.6521471999999999
33,34.0,80.0,S,0.7714403000000001
34,35.0,80.0,S,0.7953512
35,36.0,80.0,S,0.7491569
36,37.0,80.0,S,0.87744205
37,38.0,80.0,S,0.7804492
38,39.0,80.0,S,0.7696902999999999
39,40.0,80.0,S,0.7503293000000001
40,1.0,100.0,S,1.081048
41,2.0,100.0,S,0.9022304
42,3.0,100.0,S,1.06222655
43,4.0,100.0,S,1.224346
44,5.0,100.0,S,1.392646
45,6.0,100.0,S,1.133816
46,7.0,100.0,S,1.210529
47,8.0,100.0,S,1.1385595
48,9.0,100.0,S,1.1603785
49,10.0,100.0,S,1.108717
50,11.0,100.0,S,1.211715
51,12.0,100.0,S,1.033401
52,13.0,100.0,S,0.9165711
53,14.0,100.0,S,0.9091358
54,15.0,100.0,S,0.7736831000000001
55,16.0,100.0,S,0.8755233
56,17.0,100.0,S,0.900894
57,18.0,100.0,S,0.8834339
58,19.0,100.0,S,0.8947560000000001
59,20.0,100.0,S,1.017945
60,21.0,100.0,S,0.4827
61,22.0,100.0,S,0.6394850000000001
62,23.0,100.0,S,0.7039254
63,24.0,100.0,S,0.7788623000000001
64,25.0,100.0,S,0.680962
65,26.0,100.0,S,0.8295799999999999
66,27.0,100.0,S,0.7611228
67,28.0,100.0,S,0.7618909
68,29.0,100.0,S,0.8123204
69,30.0,100.0,S,0.5766359000000001
70,31.0,100.0,S,0.70625
71,32.0,100.0,S,0.69976265
72,33.0,100.0,S,0.75422795
73,34.0,100.0,S,0.7261430999999999
74,35.0,100.0,S,0.720032
75,36.0,100.0,S,0.7410707
76,37.0,100.0,S,0.93238225
77,38.0,100.0,S,0.7630193000000001
78,39.0,100.0,S,0.7258509
79,40.0,100.0,S,0.7877513
80,1.0,120.0,S,0.7768928
81,2.0,120.0,S,0.72046915
82,3.0,120.0,S,0.70205345
83,4.0,120.0,S,0.8532193
84,5.0,120.0,S,0.9480761500000001
85,6.0,120.0,S,0.751728
86,7.0,120.0,S,0.8838471999999999
87,8.0,120.0,S,1.001099
88,9.0,120.0,S,0.8907244999999999
89,10.0,120.0,S,0.9903202
90,11.0,120.0,S,0.8491751000000001
91,12.0,120.0,S,1.057134
92,13.0,120.0,S,0.9952961
93,14.0,120.0,S,0.9101203999999999
94,15.0,120.0,S,1.13579
95,16.0,120.0,S,1.213069
96,17.0,120.0,S,1.245756
97,18.0,120.0,S,1.044984
98,19.0,120.0,S,1.210404
99,20.0,120.0,S,1.1658309999999998
100,21.0,120.0,S,0.7988738000000001
101,22.0,120.0,S,0.9911242
102,23.0,120.0,S,1.00444505
103,24.0,120.0,S,0.9998538
104,25.0,120.0,S,0.9691845
105,26.0,120.0,S,0.9431472
106,27.0,120.0,S,1.00144475
107,28.0,120.0,S,0.9360874
108,29.0,120.0,S,0.9857065
109,30.0,120.0,S,0.87797
110,31.0,120.0,S,0.868047
111,32.0,120.0,S,0.9130794500000001
112,33.0,120.0,S,0.9996721
113,34.0,120.0,S,0.8767529000000001
114,35.0,120.0,S,0.99458335
115,36.0,120.0,S,0.7951592
116,37.0,120.0,S,0.963638
117,38.0,120.0,S,0.8257066999999999
118,39.0,120.0,S,0.8796603999999999
119,40.0,120.0,S,1.008146
120,1.0,80.0,M,1.448768
121,2.0,80.0,M,1.463709
122,3.0,80.0,M,1.4838825
123,4.0,80.0,M,1.8130975
124,5.0,80.0,M,1.5948835
125,6.0,80.0,M,1.636786
126,7.0,80.0,M,1.3281809999999998
127,8.0,80.0,M,1.437094
128,9.0,80.0,M,1.3313815
129,10.0,80.0,M,1.1786450000000002
130,11.0,80.0,M,1.100556
131,12.0,80.0,M,1.126548
132,13.0,80.0,M,1.401715
133,14.0,80.0,M,1.2734265
134,15.0,80.0,M,1.100196
135,16.0,80.0,M,1.480355
136,17.0,80.0,M,1.23504
137,18.0,80.0,M,1.214002
