,Trial,BPM,GestureSize,TimeDiffRegionOneToPlane,TimeDiffRegionTwoToPlane,TimeEndRegionOne,TimeEndRegionTwo,TimeStartRegionOne,TimeStartRegionTwo,TimeDifferenceBetweenCollisions
0,1.0,80.0,S,0.3,0.16000000000000003,0.46,0.6,0.12,0.48,82.19178082191782
1,2.0,80.0,S,0.32,0.16000000000000003,0.46,0.62,0.12,0.48,84.50704225352113
2,3.0,80.0,S,0.36,0.16000000000000003,0.52,0.72,0.16,0.54,75.94936708860759
3,4.0,80.0,S,0.2799999999999999,0.12,0.56,0.72,0.24,0.58,84.50704225352113
4,5.0,80.0,S,0.33000000000000007,0.17000000000000004,0.58,0.74,0.24,0.6,81.08108108108108
5,6.0,80.0,S,0.30999999999999994,0.16999999999999993,0.54,0.68,0.16,0.56,78.94736842105263
6,7.0,80.0,S,0.37,0.15000000000000002,0.48,0.7,0.18,0.54,81.08108108108108
7,8.0,80.0,S,0.35000000000000003,0.13,0.44,0.66,0.16,0.5,83.33333333333334
8,9.0,80.0,S,0.42999999999999994,0.18999999999999995,0.54,0.78,0.26,0.56,75.0
9,10.0,80.0,S,0.35,0.17000000000000004,0.54,0.72,0.2,0.56,78.94736842105263
10,11.0,80.0,S,0.32999999999999996,0.1499999999999999,0.5,0.68,0.16,0.52,78.94736842105263
11,12.0,80.0,S,0.31000000000000005,0.15000000000000002,0.5,0.66,0.22,0.54,88.23529411764706
12,13.0,80.0,S,0.30000000000000004,0.16000000000000003,0.6,0.74,0.2,0.62,77.92207792207792
13,14.0,80.0,S,0.38,0.16000000000000003,0.48,0.7,0.14,0.54,74.07407407407408
14,15.0,80.0,S,0.37,0.15000000000000002,0.52,0.74,0.22,0.58,78.94736842105263
15,16.0,80.0,S,0.31000000000000005,0.15000000000000002,0.62,0.78,0.24,0.64,78.94736842105263
16,17.0,80.0,S,0.37,0.15000000000000002,0.5,0.72,0.16,0.56,76.92307692307692
17,18.0,80.0,S,0.33000000000000007,0.17000000000000004,0.48,0.64,0.12,0.5,78.94736842105263
18,19.0,80.0,S,0.32999999999999996,0.15000000000000002,0.4,0.58,0.06,0.42,83.33333333333334
19,20.0,80.0,S,0.35000000000000003,0.15000000000000002,0.46,0.66,0.12,0.5,78.94736842105263
20,21.0,80.0,S,0.26999999999999996,0.13,0.44,0.58,0.18,0.48,100.0
21,22.0,80.0,S,0.24999999999999994,0.10999999999999999,0.46,0.6,0.18,0.48,100.0
22,23.0,80.0,S,0.26999999999999996,0.13,0.44,0.58,0.16,0.46,96.7741935483871
23,24.0,80.0,S,0.25,0.13,0.5,0.62,0.16,0.52,90.9090909090909
24,25.0,80.0,S,0.24999999999999994,0.13,0.46,0.58,0.16,0.48,96.7741935483871
25,26.0,80.0,S,0.27,0.10999999999999999,0.4,0.56,0.14,0.44,99.99999999999999
26,27.0,80.0,S,0.26999999999999996,0.13,0.46,0.6,0.16,0.48,96.7741935483871
27,28.0,80.0,S,0.26999999999999996,0.13,0.44,0.58,0.18,0.48,96.7741935483871
28,29.0,80.0,S,0.27,0.10999999999999999,0.38,0.54,0.12,0.44,100.0
29,30.0,80.0,S,0.33,0.15000000000000002,0.46,0.64,0.18,0.5,88.23529411764706
30,31.0,80.0,S,0.22999999999999993,0.10999999999999999,0.46,0.58,0.18,0.48,100.0
31,32.0,80.0,S,0.26999999999999996,0.15000000000000002,0.46,0.58,0.12,0.48,85.71428571428572
32,33.0,80.0,S,0.22999999999999998,0.10999999999999999,0.48,0.6,0.18,0.5,103.44827586206897
33,34.0,80.0,S,0.33,0.13,0.46,0.66,0.22,0.52,93.75
34,35.0,80.0,S,0.24999999999999994,0.10999999999999999,0.46,0.6,0.16,0.5,96.7741935483871
35,36.0,80.0,S,0.27,0.08999999999999997,0.38,0.56,0.12,0.44,100.0
36,37.0,80.0,S,0.24999999999999994,0.10999999999999999,0.44,0.58,0.14,0.46,93.75000000000001
37,38.0,80.0,S,0.22999999999999998,0.13,0.5,0.6,0.2,0.52,100.0
38,39.0,80.0,S,0.25,0.10999999999999999,0.48,0.62,0.18,0.5,96.7741935483871
39,40.0,80.0,S,0.21000000000000002,0.10999999999999999,0.44,0.54,0.16,0.46,103.44827586206895
40,1.0,100.0,S,0.24999999999999994,0.10999999999999999,0.34,0.48,0.08,0.38,107.14285714285715
41,2.0,100.0,S,0.26999999999999996,0.10999999999999999,0.42,0.58,0.14,0.44,96.77419354838712
42,3.0,100.0,S,0.31,0.10999999999999999,0.32,0.52,0.08,0.36,100.0
43,5.0,100.0,S,0.25000000000000006,0.11000000000000004,0.32,0.46,0.02,0.34,107.14285714285714
44,6.0,100.0,S,0.25,0.13,0.48,0.6,0.16,0.5,90.90909090909092
45,7.0,100.0,S,0.31000000000000005,0.10999999999999999,0.36,0.56,0.12,0.38,96.7741935483871
46,8.0,100.0,S,0.23000000000000004,0.09000000000000002,0.32,0.46,0.08,0.34,111.1111111111111
47,9.0,100.0,S,0.25,0.10999999999999999,0.4,0.54,0.1,0.42,93.75
48,10.0,100.0,S,0.25,0.10999999999999999,0.38,0.52,0.1,0.4,103.44827586206897
49,11.0,100.0,S,0.26999999999999996,0.10999999999999999,0.34,0.5,0.08,0.38,100.0
50,12.0,100.0,S,0.24999999999999994,0.08999999999999997,0.34,0.5,0.08,0.38,103.44827586206897
51,13.0,100.0,S,0.25,0.10999999999999999,0.36,0.5,0.1,0.4,100.0
52,14.0,100.0,S,0.24999999999999994,0.1299999999999999,0.44,0.56,0.1,0.46,96.77419354838712
53,15.0,100.0,S,0.25,0.10999999999999999,0.38,0.52,0.12,0.4,100.0
54,16.0,100.0,S,0.22999999999999998,0.10999999999999999,0.38,0.5,0.1,0.4,100.0
55,17.0,100.0,S,0.25,0.10999999999999999,0.38,0.52,0.12,0.42,100.0
56,18.0,100.0,S,0.20999999999999996,0.08999999999999997,0.38,0.5,0.1,0.4,111.11111111111113
57,19.0,100.0,S,0.26999999999999996,0.13,0.34,0.48,0.1,0.38,103.44827586206897
58,20.0,100.0,S,0.21000000000000002,0.08999999999999997,0.44,0.56,0.18,0.48,107.14285714285714
59,21.0,100.0,S,0.27,0.13,0.38,0.52,0.14,0.42,111.1111111111111
60,22.0,100.0,S,0.26999999999999996,0.10999999999999999,0.44,0.6,0.18,0.48,93.75000000000001
61,23.0,100.0,S,0.26999999999999996,0.10999999999999999,0.44,0.6,0.16,0.46,96.7741935483871
62,24.0,100.0,S,0.25,0.13,0.4,0.52,0.12,0.42,100.0
63,25.0,100.0,S,0.21000000000000002,0.09000000000000008,0.46,0.58,0.16,0.48,99.99999999999999
64,26.0,100.0,S,0.26999999999999996,0.10999999999999999,0.42,0.58,0.12,0.46,93.75000000000001
65,27.0,100.0,S,0.22999999999999998,0.10999999999999999,0.52,0.64,0.22,0.54,93.75
66,28.0,100.0,S,0.31,0.13,0.46,0.64,0.18,0.5,90.9090909090909
67,29.0,100.0,S,0.22999999999999993,0.10999999999999999,0.46,0.58,0.16,0.48,93.75000000000001
68,30.0,100.0,S,0.21000000000000002,0.08999999999999997,0.44,0.56,0.16,0.46,103.44827586206895
69,31.0,100.0,S,0.22999999999999998,0.08999999999999997,0.4,0.54,0.1,0.42,100.0
70,32.0,100.0,S,0.25,0.10999999999999999,0.38,0.52,0.1,0.42,100.0
71,33.0,100.0,S,0.19,0.08999999999999997,0.44,0.54,0.08,0.46,100.0
72,34.0,100.0,S,0.25,0.10999999999999999,0.36,0.5,0.08,0.38,103.44827586206897
73,35.0,100.0,S,0.22999999999999998,0.10999999999999999,0.4,0.52,0.1,0.42,96.7741935483871
74,36.0,100.0,S,0.23000000000000004,0.09000000000000008,0.44,0.58,0.18,0.48,103.44827586206895
75,37.0,100.0,S,0.25,0.10999999999999999,0.4,0.54,0.18,0.44,111.1111111111111
76,38.0,100.0,S,0.21000000000000002,0.09000000000000008,0.46,0.58,0.16,0.48,103.44827586206895
77,39.0,100.0,S,0.23000000000000004,0.08999999999999997,0.42,0.56,0.14,0.44,103.44827586206895
78,40.0,100.0,S,0.22999999999999998,0.10999999999999999,0.38,0.5,0.1,0.4,107.14285714285715
79,1.0,120.0,S,0.21000000000000002,0.11000000000000004,0.32,0.42,0.1,0.36,120.0
80,2.0,120.0,S,0.20999999999999996,0.08999999999999997,0.28,0.4,0.08,0.32,125.0
81,3.0,120.0,S,0.21000000000000002,0.09000000000000002,0.34,0.46,0.14,0.38,120.0
82,4.0,120.0,S,0.22999999999999998,0.09000000000000002,0.28,0.42,0.1,0.32,120.0
