,BPM,GestureSize,TotalDistanceCoveredBothRegions,TotalDistanceCoveredInRegionOne,TotalDistanceCoveredInRegionTwo,Trial
0,80.0,S,0.4673398,0.3302,0.13713980000000003,1.0
1,80.0,S,0.4426379,0.31473290000000004,0.12790499999999994,2.0
2,80.0,S,0.5333095999999999,0.3723168,0.16099279999999994,3.0
3,80.0,S,0.4756345,0.32210570000000005,0.15352879999999997,4.0
4,80.0,S,0.5125268,0.3532903,0.15923649999999995,5.0
5,80.0,S,0.5297781,0.3784805,0.15129760000000003,6.0
6,80.0,S,0.5180083,0.3643905,0.15361779999999997,7.0
7,80.0,S,0.5144873,0.3569272,0.15756009999999998,8.0
8,80.0,S,0.5985981,0.4038373,0.1947608,9.0
9,80.0,S,0.6102119,0.4214626,0.1887493,10.0
10,80.0,S,0.5190901,0.372937,0.14615309999999998,11.0
11,80.0,S,0.4856912000000001,0.34324990000000005,0.14244130000000005,12.0
12,80.0,S,0.4900147,0.3395455,0.15046920000000003,13.0
13,80.0,S,0.4516102,0.3106883,0.14092190000000004,14.0
14,80.0,S,0.4632944000000001,0.3147257,0.1485687000000001,15.0
15,80.0,S,0.4890856,0.3419761,0.1471095,16.0
16,80.0,S,0.4777653,0.3318799000000001,0.1458853999999999,17.0
17,80.0,S,0.4921207,0.3510259,0.14109480000000002,18.0
18,80.0,S,0.4415303,0.30611009999999994,0.13542020000000005,19.0
19,80.0,S,0.4822949,0.3403763,0.1419186,20.0
20,80.0,S,0.4062952,0.2942499,0.11204530000000001,21.0
21,80.0,S,0.4238682,0.2930697,0.13079849999999998,22.0
22,80.0,S,0.4115427,0.28216729999999995,0.12937540000000003,23.0
23,80.0,S,0.402992,0.27951,0.12348200000000004,24.0
24,80.0,S,0.3832999,0.2723493,0.11095060000000001,25.0
25,80.0,S,0.4128151,0.2833279,0.12948719999999997,26.0
26,80.0,S,0.4635536,0.315386,0.1481676,27.0
27,80.0,S,0.396104,0.27808,0.11802400000000002,28.0
28,80.0,S,0.3350287,0.2284459,0.1065828,29.0
29,80.0,S,0.4185743,0.2856006,0.13297370000000003,30.0
30,80.0,S,0.3196323,0.2302635,0.08936879999999997,31.0
31,80.0,S,0.366235,0.2625386,0.10369639999999997,32.0
32,80.0,S,0.3487854,0.24190570000000006,0.10687969999999997,33.0
33,80.0,S,0.3769866,0.2596422,0.11734440000000002,34.0
34,80.0,S,0.3999841,0.2762066,0.12377749999999998,35.0
35,80.0,S,0.4085695,0.28585320000000003,0.12271629999999994,36.0
36,80.0,S,0.3978462,0.2751325,0.12271369999999998,37.0
37,80.0,S,0.3360296,0.2436518,0.09237779999999998,38.0
38,80.0,S,0.3890697,0.26986409999999994,0.11920560000000008,39.0
39,80.0,S,0.3429632,0.2495722,0.09339100000000003,40.0
40,100.0,S,0.4565468,0.3328407,0.12370609999999999,1.0
41,100.0,S,0.5347075,0.3685446,0.1661629,2.0
42,100.0,S,0.5133485999999999,0.353691,0.15965759999999996,3.0
43,100.0,S,0.19477020000000006,0.0,0.19477020000000006,4.0
44,100.0,S,0.5547605,0.3873751,0.16738539999999996,5.0
45,100.0,S,0.6007210999999999,0.4369880999999999,0.16373300000000002,6.0
46,100.0,S,0.5797295,0.4133848,0.1663447,7.0
47,100.0,S,0.5453585,0.3857735,0.15958499999999998,8.0
48,100.0,S,0.5908164,0.4067056,0.18411080000000002,9.0
49,100.0,S,0.5538833000000001,0.4060115,0.14787180000000005,10.0
50,100.0,S,0.5608786,0.396982,0.1638966,11.0
51,100.0,S,0.4948016,0.3474123,0.1473893,12.0
52,100.0,S,0.415527,0.28835429999999995,0.12717270000000003,13.0
53,100.0,S,0.489277,0.3545494,0.1347276,14.0
54,100.0,S,0.3940201,0.2824355,0.11158459999999998,15.0
55,100.0,S,0.4291317,0.3130507,0.11608099999999999,16.0
56,100.0,S,0.4106166,0.2921061,0.11851050000000002,17.0
57,100.0,S,0.4141955,0.28730029999999995,0.12689520000000004,18.0
58,100.0,S,0.3979014,0.2854331,0.11246830000000002,19.0
59,100.0,S,0.4083479,0.2893524,0.11899549999999998,20.0
60,100.0,S,0.297319,0.2125712,0.08474780000000001,21.0
61,100.0,S,0.3255878,0.2271005,0.09848729999999997,22.0
62,100.0,S,0.3688126,0.2550871,0.11372549999999998,23.0
63,100.0,S,0.355657,0.25833110000000004,0.09732589999999997,24.0
64,100.0,S,0.33127490000000004,0.2297768,0.10149810000000004,25.0
65,100.0,S,0.364522,0.2570885,0.10743350000000002,26.0
66,100.0,S,0.3699063,0.2608234,0.10908290000000004,27.0
67,100.0,S,0.4467841,0.303891,0.1428931,28.0
